Code,Name,Registration_number,Keph level,Facility type,Owner,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
22882,Highway Medical Clinic Mukuyuni,10976,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,BUNGOMA,TONGAREN,tongaren,MILIMA,Operational,No,No,Yes,No,,Yes,Yes,No
22752,Lwakhakha Dispensary,,Level 2,Basic primary health care facility,Public Institution,,0,0,BUNGOMA,SIRISIA,sirisia,LWANDANYI,Operational,No,No,No,No,,Yes,Yes,No
22652,Fountain Healthcare Ltd Bungoma,,Level 3,Comprehensive primary health care facility,Private Practice - General Practitioner,,19,1,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22623,Nzoia Medical Centre Chwele,,Level 3,Basic primary health care facility,Private Enterprise (Institution),,18,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22621,Nzioa Medical Centre Chwele,,Level 3,Basic primary health care facility,Private Enterprise (Institution),,18,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22520,Makololwe Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,TONGAREN,tongaren,TONGAREN,Operational,No,No,No,No,,Yes,Yes,No
22519,Namang'ofulo Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Kenya MPDB - Institution,0,0,BUNGOMA,SIRISIA,sirisia,MALAKISI/SOUTH KULISIRU,Operational,No,No,No,No,,Yes,Yes,No
22501,Namwatikho Dispensary,,Level 2,Dispensaries and clinic-out patient only,Community,Ministry of Health,0,0,BUNGOMA,WEBUYE EAST,webuye east,NDIVISI,Operational,No,No,No,No,,Yes,Yes,No
22500,Bukokholo Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,SIRISIA,sirisia,MALAKISI/SOUTH KULISIRU,Operational,No,No,No,No,,Yes,Yes,No
22490,Mwomo Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,BUMULA,bumula,WEST BUKUSU,Operational,No,No,No,No,,Yes,Yes,No
22355,Chrizah Medical Clinic,4039,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,4,0,BUNGOMA,KIMILILI,kimilili,KIBINGEI,Operational,Yes,No,No,No,,Yes,Yes,No
22299,Nabuala Medical Centre,23310,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,Ministry of Health,24,0,BUNGOMA,KANDUYI,kanduyi,MARAKARU/TUUTI,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22207,Wasio  dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,Cheptais,CHEPTAIS,Operational,No,No,No,No,,Yes,Yes,No
22151,ST.Bakhita Mission,,Level 3,Basic primary health care facility,Other Faith Based,Clinical Officers Council,30,1,BUNGOMA,WEBUYE EAST,webuye east,NDIVISI,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22027,Domiciliary Health Care Medical Clinic,4/1/6/5B,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),1,0,BUNGOMA,KIMILILI,kimilili,KIBINGEI,Operational,No,No,No,No,,Yes,Yes,No
22003,Chebukutumi Dispensary,,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,BUNGOMA,SIRISIA,sirisia,MALAKISI/SOUTH KULISIRU,Operational,No,No,Yes,No,,Yes,Yes,No
21967,St James Opticals Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,,1,0,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,No,Yes,Yes,No,,Yes,Yes,No
21960,St Padre Pio Medical and Surgical Centre,,Level 3,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,BUNGOMA,WEBUTE WEST,webuye west,MATULO,Operational,No,No,No,No,,Yes,Yes,No
21943,Kitabisi Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,BUMULA,bumula,KIMAETI,Operational,No,No,No,No,,Yes,Yes,No
21897,Huduma Centre- Bungoma,,Level 2,VCT,Public Institution,,0,0,BUNGOMA,KANDUYI,kanduyi,TOWNSHIP,Operational,No,No,No,No,,Yes,Yes,No
21896,Sambocho Health Centre,,Level 3,Comprehensive primary health care facility,Other Faith Based,,12,0,BUNGOMA,MT. ELGON,mt elgon,ELGON,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
21822,Mukwa Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,BUMULA,bumula,SIBOTI,Operational,No,No,No,No,,Yes,Yes,No
21821,Mateka Clinic,22292397,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,BUNGOMA,BUMULA,bumula,SOUTH BUKUSU,Operational,No,No,No,No,,Yes,Yes,No
21783,Misikhu Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,WEBUTE WEST,webuye west,MISIKHU,Operational,No,No,No,No,,Yes,Yes,No
21773,Mulachi Dispensary,,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,BUNGOMA,WEBUYE EAST,webuye east,MIHUU,Operational,No,No,No,No,,Yes,Yes,No
21771,Namarambi Dispensary,,Level 2,Basic primary health care facility,Ministry of Health,,0,0,BUNGOMA,WEBUYE EAST,webuye east,NDIVISI,Operational,No,No,No,No,,Yes,Yes,No
21753,Nasaka Dispensary,,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KABUCHAI,kabuchai,BWAKE/LUUYA,Operational,No,No,No,No,,Yes,Yes,No
21739,Kakimanyi Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,WEBUTE WEST,webuye west,SITIKHO,Operational,No,No,No,No,,Yes,Yes,No
21736,Sitikho Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,,0,0,BUNGOMA,WEBUTE WEST,webuye west,SITIKHO,Operational,No,No,Yes,No,,Yes,Yes,No
21701,Musikoma Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,,2,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,Yes,Yes,No,,Yes,Yes,No
21700,Ndengelwa Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,BUNGOMA,KANDUYI,kanduyi,BUKEMBE WEST,Operational,No,No,No,No,,Yes,Yes,No
21451,"ST Faustine""s Health Services",,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,TONGAREN,tongaren,NAITIRI/KABUYEFWE,Operational,No,No,No,No,,Yes,Yes,No
21406,Lukhokhwe Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,TONGAREN,tongaren,MILIMA,Operational,No,No,No,No,,Yes,Yes,No
21403,Tumaini Brigadier Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),8,4,BUNGOMA,TONGAREN,tongaren,MBAKALO,Operational,No,No,No,No,,Yes,Yes,No
21354,Open Heart Medical Centre,,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Private Practice,0,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Operational,No,No,No,No,,Yes,Yes,No
21251,Mayanja St. Pauls Medical Services,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,4,0,BUNGOMA,KANDUYI,kanduyi,MARAKARU/TUUTI,Operational,No,No,No,No,,Yes,Yes,No
21202,Kory Family Hospital,,Level 3,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Institution,15,3,BUNGOMA,KANDUYI,kanduyi,TOWNSHIP,Operational,No,No,No,No,,Yes,Yes,No
21187,Matisi Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,WEBUTE WEST,webuye west,BOKOLI,Operational,No,No,No,No,,Yes,Yes,No
21186,Sunrise (K) Medical Centre,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,BUNGOMA,WEBUYE EAST,webuye east,MARAKA,Operational,No,No,Yes,No,,Yes,Yes,No
21185,Oasis of Hope Medical Centre,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,BUNGOMA,WEBUYE EAST,webuye east,MIHUU,Operational,No,No,No,No,,Yes,Yes,No
21114,Kibabii University Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Private Practice,6,0,BUNGOMA,KANDUYI,kanduyi,MARAKARU/TUUTI,Operational,No,No,No,No,,Yes,Yes,No
21004,Bungoma Beyond Zero Mobile Unit,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,BUNGOMA,WEBUTE WEST,webuye west,BOKOLI,Operational,No,No,No,No,,Yes,Yes,No
20851,Mpeli Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,1,0,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,No,No,No,No,,Yes,Yes,No
20831,Alphine Health Care Centre,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,BUNGOMA,KANDUYI,kanduyi,BUKEMBE EAST,Operational,No,No,No,No,,Yes,Yes,No
20823,Ace Africa (k) Wellness Centre,,Level 2,VCT,Non-Governmental Organizations,Ministry of Health,0,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,No,No,No,,Yes,Yes,No
20791,Naitiri Private Wing Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),12,0,BUNGOMA,TONGAREN,tongaren,NAITIRI/KABUYEFWE,Operational,No,No,No,No,,Yes,Yes,No
20740,Chepkerer Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,mt elgon,KAPTAMA,Operational,No,No,No,No,,Yes,Yes,No
20610,Marigo Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,BUNGOMA,MT. ELGON,Cheptais,CHESIKAKI,Operational,No,No,No,No,,Yes,Yes,No
20571,Wema Centre Medical Laboratory,,Level 2,Laboratory,Laboratory Technician/Technologist,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,BUNGOMA,KANDUYI,kanduyi,WEST SANG'ALO,Operational,No,No,No,No,,Yes,Yes,No
20557,Aga Khan Health Service Bungoma Centre,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,No,No,No,No,,Yes,Yes,No
20495,Weyeta clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Operational,No,No,No,No,,Yes,Yes,No
20494,Bewa Medical clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),2,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Operational,No,No,No,No,,Yes,Yes,No
20493,Makhonge dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KABUCHAI,kabuchai,MUKUYUNI,Operational,No,No,No,No,,Yes,Yes,No
20484,Kongoli Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KANDUYI,kanduyi,EAST SANG'ALO,Operational,No,No,No,No,,Yes,Yes,No
20483,Ranje Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KANDUYI,kanduyi,WEST SANG'ALO,Operational,No,No,No,No,,Yes,Yes,No
20392,Kambini Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KIMILILI,kimilili,KIMILILI,Operational,No,No,No,No,,Yes,Yes,No
20323,Bungoma West Medical Services,,Level 3,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Private Practice,40,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,No,No,No,,Yes,Yes,No
20322,Tabani Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,2,BUNGOMA,TONGAREN,tongaren,NDALU,Operational,No,No,No,No,,Yes,Yes,No
20246,Sulwe Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KIMILILI,kimilili,KAMUKUYWA,Operational,No,No,No,No,,Yes,Yes,No
20223,Kamasielo Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KIMILILI,kimilili,KAMUKUYWA,Operational,No,No,No,No,,Yes,Yes,No
20186,Sango Kabuyefwe Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,2,BUNGOMA,TONGAREN,tongaren,NAITIRI/KABUYEFWE,Operational,No,No,No,No,,Yes,Yes,No
20159,Chebukwabi Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,BUNGOMA,KIMILILI,kimilili,KIBINGEI,Operational,No,No,No,No,,Yes,Yes,No
20156,Lunakwe Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,BUMULA,bumula,BUMULA,Operational,No,No,No,No,,Yes,Yes,No
20017,Wilwinns Nursing Home,,Level 2,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Private Practice,12,0,BUNGOMA,WEBUYE EAST,webuye east,MARAKA,Operational,Yes,No,Yes,No,,Yes,Yes,No
19950,Misikhu Main Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,BUNGOMA,WEBUYE EAST,webuye east,NDIVISI,Operational,No,No,Yes,No,,Yes,Yes,No
19389,Sosio Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,BUNGOMA,MT. ELGON,mt elgon,KAPTAMA,Operational,No,No,No,No,,Yes,Yes,No
19388,Kapsokwony Medicare,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,BUNGOMA,MT. ELGON,mt elgon,ELGON,Operational,No,No,Yes,No,,Yes,Yes,No
19385,Mt Elgon Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),2,0,BUNGOMA,MT. ELGON,Cheptais,CHEPTAIS,Operational,No,No,Yes,No,,Yes,Yes,No
19155,Chebon Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Institution,0,0,BUNGOMA,MT. ELGON,mt elgon,ELGON,Operational,No,No,Yes,No,,Yes,Yes,No
18891,Cheptais Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),1,1,BUNGOMA,MT. ELGON,Cheptais,CHEPTAIS,Operational,No,No,Yes,No,,Yes,Yes,No
18890,Maendeleo Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),6,6,BUNGOMA,MT. ELGON,Cheptais,CHEPTAIS,Operational,Yes,No,Yes,No,,Yes,Yes,No
18889,Paradise Medical Centre (Cheptais),,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,12,12,BUNGOMA,MT. ELGON,Cheptais,CHEPTAIS,Operational,Yes,No,Yes,No,,Yes,Yes,No
18852,Lumboka Medical Services,,Level 4,Secondary care hospitals,Company Medical Service,Kenya MPDB - Institution,60,12,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,Yes,No,Yes,No,,Yes,Yes,No
18584,Chemses Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,mt elgon,ELGON,Operational,No,No,No,No,,Yes,Yes,No
18582,Chesinende Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,mt elgon,KAPTAMA,Operational,No,No,No,No,,Yes,Yes,No
18563,Chemwa Bridge Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KABUCHAI,kabuchai,WEST NALONDO,Operational,No,No,No,No,,Yes,Yes,No
18549,Creadis Htc Centre,,Level 2,VCT,Non-Governmental Organizations,Other,1,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,No,No,No,,Yes,Yes,No
18444,Mufutu Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Clinical Officers Council,0,0,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,No,No,Yes,No,,Yes,Yes,No
18443,Child Welfare Society of Kenya Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,No,Yes,No,,Yes,Yes,No
18362,Khalala Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,WEBUTE WEST,webuye west,SITIKHO,Operational,No,No,No,No,,Yes,Yes,No
18346,Kamukuywa Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KIMILILI,kimilili,KIMILILI,Operational,No,No,No,No,,Yes,Yes,No
18145,Sikusi Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Operational,No,No,No,No,,Yes,Yes,No
18111,Nzoia Medical Centre,,Level 3,Basic primary health care facility,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),16,0,BUNGOMA,KANDUYI,kanduyi,BUKEMBE EAST,Operational,Yes,No,Yes,No,,Yes,Yes,No
18108,Victoria Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Institution,2,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,No,Yes,No,,Yes,Yes,No
18031,Elite Medical Clinic (Bungoma East),,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,WEBUYE EAST,webuye east,MARAKA,Operational,No,No,No,No,,Yes,Yes,No
17993,Soteni Dispensary,,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Institution,8,0,BUNGOMA,TONGAREN,tongaren,MBAKALO,Operational,Yes,No,Yes,No,,Yes,Yes,No
17990,Sirakaru Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,TONGAREN,tongaren,NAITIRI/KABUYEFWE,Operational,No,No,No,No,,Yes,Yes,No
17986,Sango Natiri Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,TONGAREN,tongaren,NAITIRI/KABUYEFWE,Operational,No,No,No,No,,Yes,Yes,No
17881,Khalaba Medical Services,17837,Level 3,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,18,0,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17679,Misikhu Medicalcclinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,WEBUYE EAST,webuye east,NDIVISI,Operational,No,No,No,No,,Yes,Yes,No
17608,Luucho Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KABUCHAI,kabuchai,WEST NALONDO,Operational,No,No,No,No,,Yes,Yes,No
17513,Njete Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),2,2,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,Yes,No,Yes,No,,Yes,Yes,No
17504,Kema Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),1,0,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,No,No,Yes,No,,Yes,Yes,No
17503,St Thadeus Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,No,Yes,No,,Yes,Yes,No
17502,Mabanga Medical Clinic,4/1/6/5B,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,KANDUYI,kanduyi,BUKEMBE WEST,Operational,No,Yes,Yes,No,,Yes,Yes,No
17501,Musco Clinic,4/1/6/5B,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,Yes,Yes,No,,Yes,Yes,No
17193,Bituyu Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,BUNGOMA,KIMILILI,kimilili,KIMILILI,Operational,No,No,No,No,,Yes,Yes,No
17190,Bahai Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,8,0,BUNGOMA,KIMILILI,kimilili,KIMILILI,Operational,No,No,No,No,,Yes,Yes,No
17117,Nalondo Health Centre (Model),,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,5,0,BUNGOMA,KABUCHAI,kabuchai,WEST NALONDO,Operational,Yes,No,No,No,,Yes,Yes,No
17116,Luuya Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KABUCHAI,kabuchai,BWAKE/LUUYA,Operational,No,No,No,No,,Yes,Yes,No
17076,Kapkota Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,Cheptais,CHEPTAIS,Operational,No,No,No,No,,Yes,Yes,No
17070,Grace Medical Care Centre,,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Institution,0,0,BUNGOMA,KANDUYI,kanduyi,MARAKARU/TUUTI,Operational,No,No,Yes,No,,Yes,Yes,No
15989,Makhanga Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Other,0,0,BUNGOMA,TONGAREN,tongaren,NAITIRI/KABUYEFWE,Operational,No,No,No,No,,Yes,Yes,No
15918,Kamukuywa (ACK) Dispensary,,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Institution,0,0,BUNGOMA,TONGAREN,tongaren,TONGAREN,Operational,No,No,No,No,,Yes,Yes,No
15852,Chelelemuk (St.Boniface Mwanda B) Dispensary,,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Institution,0,0,BUNGOMA,SIRISIA,sirisia,MALAKISI/SOUTH KULISIRU,Operational,No,No,No,No,,Yes,Yes,No
16135,Soysambu (ACK) Dispensary,,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Institution,0,0,BUNGOMA,TONGAREN,tongaren,TONGAREN,Operational,No,No,No,No,,Yes,Yes,No
15848,Chebukaka Dispensary,,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Institution,7,0,BUNGOMA,KABUCHAI,kabuchai,MUKUYUNI,Operational,Yes,No,No,No,,Yes,Yes,No
15861,Chwele Friends Dispensary,,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Institution,0,0,BUNGOMA,SIRISIA,sirisia,NAMWELA,Operational,No,No,No,No,,Yes,Yes,No
15942,Kibingei Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KIMILILI,kimilili,KIBINGEI,Operational,No,No,No,No,,Yes,Yes,No
16487,Ruanda Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,Cheptais,KAPKATENY,Operational,No,No,No,No,,Yes,Yes,No
